det(intake-3, The-1)
compound(exposure-10, CYP3A4-4)
punct(Rifampicin-6, -LRB--5)
appos(CYP3A4-4, Rifampicin-6)
punct(Rifampicin-6, -RRB--7)
amod(exposure-10, Racemic-8)
compound(exposure-10, zopiclone-9)
dobj(Induce-3, exposure-10)
auxpass(decreased-12, was-11)
root(ROOT-0, decreased-12)
nummod(%-14, 80-13)
dobj(decreased-12, %-14)
case(rifampicin-18, by-15)
amod(rifampicin-18, concomitant-16)
amod(rifampicin-18, useof-17)
nmod(decreased-12, rifampicin-18)
punct(rifampicin-18, ,-19)
det(inducer-22, a-20)
amod(inducer-22, potent-21)
appos(rifampicin-18, inducer-22)
case(CYP3A4-24, of-23)
nmod(inducer-22, CYP3A4-24)
punct(decreased-12, .-25)

det(effect-3, A-1)
amod(effect-3, similar-2)
nsubjpass(expected-6, effect-3)
aux(expected-6, would-4)
auxpass(expected-6, be-5)
root(ROOT-0, expected-6)
case(eszopiclone-8, with-7)
nmod(expected-6, eszopiclone-8)
punct(expected-6, .-9)

nsubj(Bound-3, Drugs-1)
advmod(Bound-3, Highly-2)
csubjpass(bound-11, Bound-3)
case(Eszopiclone-7, To-4)
compound(Eszopiclone-7, Plasma-5)
compound(Eszopiclone-7, Protein-6)
nmod(Bound-3, Eszopiclone-7)
auxpass(bound-11, is-8)
neg(bound-11, not-9)
advmod(bound-11, highly-10)
root(ROOT-0, bound-11)
case(proteins-14, to-12)
compound(proteins-14, plasma-13)
nmod(bound-11, proteins-14)
punct(bound-20, -LRB--15)
dep(bound-20, 52-16)
punct(bound-20, --17)
nummod(%-19, 59-18)
nsubj(bound-20, %-19)
dep(proteins-14, bound-20)
punct(bound-20, -RRB--21)
punct(bound-11, ;-22)
advmod(expected-31, therefore-23)
punct(expected-31, ,-24)
det(disposition-26, the-25)
nsubjpass(expected-31, disposition-26)
case(eszopiclone-28, of-27)
nmod(disposition-26, eszopiclone-28)
auxpass(expected-31, is-29)
neg(expected-31, not-30)
parataxis(bound-11, expected-31)
mark(sensitive-34, to-32)
cop(sensitive-34, be-33)
xcomp(expected-31, sensitive-34)
case(alterations-36, to-35)
nmod(sensitive-34, alterations-36)
case(binding-39, in-37)
compound(binding-39, protein-38)
nmod(alterations-36, binding-39)
punct(bound-11, .-40)

nsubjpass(expected-21, Administration-1)
case(mg-5, of-2)
compound(mg-5, eszopiclone-3)
nummod(mg-5, 3-4)
nmod(Administration-1, mg-5)
case(patient-8, to-6)
det(patient-8, a-7)
nmod(Administration-1, patient-8)
acl(patient-8, taking-9)
det(drug-11, another-10)
dobj(taking-9, drug-11)
nsubj(protein-15, that-12)
cop(protein-15, is-13)
advmod(protein-15, highly-14)
acl:relcl(drug-11, protein-15)
punct(protein-15, --16)
acl(protein-15, bound-17)
aux(expected-21, would-18)
neg(expected-21, not-19)
auxpass(expected-21, be-20)
root(ROOT-0, expected-21)
mark(cause-23, to-22)
xcomp(expected-21, cause-23)
det(alteration-25, an-24)
dobj(cause-23, alteration-25)
case(concentration-29, in-26)
det(concentration-29, the-27)
amod(concentration-29, free-28)
nmod(alteration-25, concentration-29)
case(drug-32, of-30)
det(drug-32, either-31)
nmod(concentration-29, drug-32)
punct(expected-21, .-33)

root(ROOT-0, Drugs-1)
case(Digoxin-7, With-2)
det(Digoxin-7, A-3)
amod(Digoxin-7, Narrow-4)
amod(Digoxin-7, Therapeutic-5)
compound(Digoxin-7, Index-6)
nmod(affect-17, Digoxin-7)
det(dose-10, A-8)
amod(dose-10, single-9)
nsubj(affect-17, dose-10)
case(eszopiclone-12, of-11)
nmod(dose-10, eszopiclone-12)
nummod(mg-14, 3-13)
dep(eszopiclone-12, mg-14)
aux(affect-17, did-15)
neg(affect-17, not-16)
acl:relcl(Drugs-1, affect-17)
det(pharmacokinetics-19, the-18)
dobj(affect-17, pharmacokinetics-19)
case(digoxin-21, of-20)
nmod(pharmacokinetics-19, digoxin-21)
acl(pharmacokinetics-19, measured-22)
case(state-25, at-23)
amod(state-25, steady-24)
nmod(measured-22, state-25)
case(dosing-27, following-26)
nmod(affect-17, dosing-27)
case(mg-30, of-28)
nummod(mg-30, 0.5-29)
nmod(dosing-27, mg-30)
advmod(daily-32, twice-31)
advmod(dosing-27, daily-32)
case(day-35, for-33)
nummod(day-35, one-34)
nmod(dosing-27, day-35)
cc(dosing-27, and-36)
nummod(mg-38, 0.25-37)
conj(dosing-27, mg-38)
advmod(mg-38, daily-39)
case(days-44, for-40)
det(days-44, the-41)
amod(days-44, next-42)
nummod(days-44, 6-43)
nmod(mg-38, days-44)
punct(Drugs-1, .-45)

root(ROOT-0, Warfarin-1)
punct(Warfarin-1, :-2)
compound(mg-5, Eszopiclone-3)
nummod(mg-5, 3-4)
nsubj(affect-13, mg-5)
acl(mg-5, administered-6)
advmod(administered-6, daily-7)
case(days-10, for-8)
nummod(days-10, 5-9)
nmod(administered-6, days-10)
aux(affect-13, did-11)
neg(affect-13, not-12)
dep(Warfarin-1, affect-13)
det(pharmacokinetics-15, the-14)
dobj(affect-13, pharmacokinetics-15)
case(R-18, of-16)
punct(R-18, -LRB--17)
nmod(pharmacokinetics-15, R-18)
punct(R-18, -RRB--19)
punct(R-18, --20)
cc(R-18, or-21)
punct(S-23, -LRB--22)
conj(R-18, S-23)
punct(S-23, -RRB--24)
punct(S-23, --25)
dep(S-23, warfarin-26)
punct(S-23, ,-27)
cc(S-23, nor-28)
conj(S-23, were-29)
expl(were-29, there-30)
det(changes-32, any-31)
nsubj(were-29, changes-32)
case(profile-36, in-33)
det(profile-36, the-34)
amod(profile-36, pharmacodynamic-35)
nmod(changes-32, profile-36)
punct(time-39, -LRB--37)
compound(time-39, prothrombin-38)
appos(changes-32, time-39)
punct(time-39, -RRB--40)
case(mg-45, following-41)
det(mg-45, a-42)
amod(mg-45, single-43)
nummod(mg-45, 25-44)
nmod(changes-32, mg-45)
amod(dose-47, oral-46)
dep(mg-45, dose-47)
case(warfarin-49, of-48)
nmod(dose-47, warfarin-49)
punct(Warfarin-1, .-50)

csubjpass(reported-11, fucking-1)
amod(levels-6, empty-2)
compound(levels-6, sentence-3)
amod(levels-6, Elevated-4)
compound(levels-6, plasma-5)
dobj(fucking-1, levels-6)
case(theophylline-8, of-7)
nmod(levels-6, theophylline-8)
aux(reported-11, have-9)
auxpass(reported-11, been-10)
root(ROOT-0, reported-11)
case(use-15, with-12)
amod(use-15, concomitant-13)
compound(use-15, quinolone-14)
nmod(reported-11, use-15)
punct(reported-11, .-16)

expl(reports-4, There-1)
aux(reports-4, have-2)
cop(reports-4, been-3)
root(ROOT-0, reports-4)
case(theophylline-6, of-5)
nmod(reports-4, theophylline-6)
punct(theophylline-6, --7)
amod(effects-10, related-8)
amod(effects-10, side-9)
dep(theophylline-6, effects-10)
case(patients-12, in-11)
nmod(effects-10, patients-12)
case(therapy-15, on-13)
amod(therapy-15, concomitant-14)
nmod(patients-12, therapy-15)
case(norfloxacin-17, with-16)
nmod(therapy-15, norfloxacin-17)
cc(norfloxacin-17, and-18)
conj(norfloxacin-17, theophylline-19)
punct(reports-4, .-20)

advmod(considered-10, Therefore-1)
punct(considered-10, ,-2)
nsubjpass(considered-10, monitoring-3)
case(levels-7, of-4)
compound(levels-7, theophylline-5)
compound(levels-7, plasma-6)
nmod(monitoring-3, levels-7)
aux(considered-10, should-8)
auxpass(considered-10, be-9)
root(ROOT-0, considered-10)
cc(considered-10, and-11)
conj(considered-10, dosage-12)
case(theophylline-14, of-13)
nmod(dosage-12, theophylline-14)
acl(dosage-12, adjusted-15)
mark(required-17, as-16)
advcl(adjusted-15, required-17)
punct(considered-10, .-18)

amod(levels-3, Elevated-1)
compound(levels-3, serum-2)
nsubjpass(reported-8, levels-3)
case(cyclosporine-5, of-4)
nmod(levels-3, cyclosporine-5)
aux(reported-8, have-6)
auxpass(reported-8, been-7)
root(ROOT-0, reported-8)
case(use-11, with-9)
amod(use-11, concomitant-10)
nmod(reported-8, use-11)
case(cyclosporine-13, of-12)
nmod(use-11, cyclosporine-13)
case(norfloxacin-15, with-14)
nmod(use-11, norfloxacin-15)
punct(reported-8, .-16)

advmod(monitored-8, Therefore-1)
punct(monitored-8, ,-2)
compound(levels-5, cyclosporine-3)
compound(levels-5, serum-4)
nsubjpass(monitored-8, levels-5)
aux(monitored-8, should-6)
auxpass(monitored-8, be-7)
root(ROOT-0, monitored-8)
cc(monitored-8, and-9)
conj(monitored-8, appropriate-10)
compound(adjustments-13, cyclosporine-11)
compound(adjustments-13, dosage-12)
dobj(monitored-8, adjustments-13)
acl(adjustments-13, made-14)
advmod(used-19, when-15)
det(drugs-17, these-16)
nsubjpass(used-19, drugs-17)
auxpass(used-19, are-18)
advcl(made-14, used-19)
advmod(used-19, concomitantly-20)
punct(monitored-8, .-21)

nsubj(enhance-7, Quinolones-1)
punct(Quinolones-1, ,-2)
case(norfloxacin-4, including-3)
nmod(Quinolones-1, norfloxacin-4)
punct(Quinolones-1, ,-5)
aux(enhance-7, may-6)
root(ROOT-0, enhance-7)
det(effects-9, the-8)
dobj(enhance-7, effects-9)
case(anticoagulants-12, of-10)
amod(anticoagulants-12, oral-11)
nmod(effects-9, anticoagulants-12)
punct(anticoagulants-12, ,-13)
case(warfarin-15, including-14)
nmod(anticoagulants-12, warfarin-15)
cc(warfarin-15, or-16)
nmod:poss(derivatives-18, its-17)
conj(warfarin-15, derivatives-18)
cc(warfarin-15, or-19)
amod(agents-21, similar-20)
conj(warfarin-15, agents-21)
punct(enhance-7, .-22)

advmod(administered-5, When-1)
det(products-3, these-2)
nsubjpass(administered-5, products-3)
auxpass(administered-5, are-4)
advcl(monitored-18, administered-5)
advmod(administered-5, concomitantly-6)
punct(monitored-18, ,-7)
compound(time-9, prothrombin-8)
nsubjpass(monitored-18, time-9)
cc(time-9, or-10)
amod(tests-14, other-11)
amod(tests-14, suitable-12)
compound(tests-14, coagulation-13)
conj(time-9, tests-14)
aux(monitored-18, should-15)
auxpass(monitored-18, be-16)
advmod(monitored-18, closely-17)
root(ROOT-0, monitored-18)
punct(monitored-18, .-19)

det(administration-3, The-1)
amod(administration-3, concomitant-2)
nsubj(has-15, administration-3)
case(quinolones-5, of-4)
nmod(administration-3, quinolones-5)
case(norfloxacin-7, including-6)
nmod(quinolones-5, norfloxacin-7)
case(glyburide-9, with-8)
nmod(norfloxacin-7, glyburide-9)
punct(agent-13, -LRB--10)
det(agent-13, a-11)
compound(agent-13, sulfonylurea-12)
appos(glyburide-9, agent-13)
punct(agent-13, -RRB--14)
root(ROOT-0, has-15)
punct(has-15, ,-16)
case(occasions-19, on-17)
amod(occasions-19, rare-18)
nmod(has-15, occasions-19)
punct(has-15, ,-20)
dep(has-15, resulted-21)
case(hypoglycemia-24, in-22)
amod(hypoglycemia-24, severe-23)
nmod(resulted-21, hypoglycemia-24)
punct(has-15, .-25)

advmod(recommended-8, Therefore-1)
punct(recommended-8, ,-2)
nsubjpass(recommended-8, monitoring-3)
case(glucose-6, of-4)
compound(glucose-6, blood-5)
nmod(monitoring-3, glucose-6)
auxpass(recommended-8, is-7)
root(ROOT-0, recommended-8)
advmod(co-13, when-9)
det(agents-11, these-10)
nsubj(co-13, agents-11)
cop(co-13, are-12)
advcl(recommended-8, co-13)
punct(co-13, --14)
dep(co-13, administered-15)
punct(recommended-8, .-16)

amod(excretion-3, Diminished-1)
amod(excretion-3, urinary-2)
nsubjpass(reported-8, excretion-3)
case(norfloxacin-5, of-4)
nmod(excretion-3, norfloxacin-5)
aux(reported-8, has-6)
auxpass(reported-8, been-7)
root(ROOT-0, reported-8)
case(administration-12, during-9)
det(administration-12, the-10)
amod(administration-12, concomitant-11)
nmod(reported-8, administration-12)
case(probenecid-14, of-13)
nmod(administration-12, probenecid-14)
cc(probenecid-14, and-15)
conj(probenecid-14, norfloxacin-16)
punct(reported-8, .-17)

det(use-3, The-1)
amod(use-3, concomitant-2)
nsubjpass(recommended-8, use-3)
case(nitrofurantoin-5, of-4)
nmod(use-3, nitrofurantoin-5)
auxpass(recommended-8, is-6)
neg(recommended-8, not-7)
root(ROOT-0, recommended-8)
mark(antagonize-12, since-9)
nsubj(antagonize-12, nitrofurantoin-10)
aux(antagonize-12, may-11)
advcl(recommended-8, antagonize-12)
det(effect-15, the-13)
amod(effect-15, antibacterial-14)
dobj(antagonize-12, effect-15)
case(Norfloxacin-17, of-16)
nmod(effect-15, Norfloxacin-17)
case(tract-21, in-18)
det(tract-21, the-19)
amod(tract-21, urinary-20)
nmod(effect-15, tract-21)
punct(recommended-8, .-22)

nsubjpass(administered-17, Multivitamins-1)
punct(Multivitamins-1, ,-2)
cc(Multivitamins-1, or-3)
amod(products-5, other-4)
conj(Multivitamins-1, products-5)
acl(products-5, containing-6)
dobj(containing-6, iron-7)
cc(iron-7, or-8)
conj(iron-7, zinc-9)
punct(iron-7, ,-10)
conj(iron-7, antacids-11)
cc(iron-7, or-12)
conj(iron-7, sucralfate-13)
aux(administered-17, should-14)
neg(administered-17, not-15)
auxpass(administered-17, be-16)
root(ROOT-0, administered-17)
advmod(administered-17, concomitantly-18)
dep(administered-17, with-19)
punct(with-19, ,-20)
root(,-20, or-21)
case(hours-24, within-22)
nummod(hours-24, 2-23)
nmod(or-21, hours-24)
acl(hours-24, of-25)
punct(hours-24, ,-26)
det(administration-28, the-27)
root(,-26, administration-28)
case(norfloxacin-30, of-29)
nmod(administration-28, norfloxacin-30)
punct(administration-28, ,-31)
mark(interfere-35, because-32)
nsubj(interfere-35, they-33)
aux(interfere-35, may-34)
root(,-31, interfere-35)
case(absorption-37, with-36)
nmod(interfere-35, absorption-37)
acl(absorption-37, resulting-38)
case(serum-41, in-39)
amod(serum-41, lower-40)
nmod(resulting-38, serum-41)
cc(serum-41, and-42)
compound(levels-44, urine-43)
conj(serum-41, levels-44)
case(norfloxacin-46, of-45)
nmod(levels-44, norfloxacin-46)
punct(interfere-35, .-47)

compound(tablets-8, Videx-1)
punct(Didanosine-3, -LRB--2)
appos(Videx-1, Didanosine-3)
punct(Didanosine-3, -RRB--4)
amod(tablets-8, chewable-5)
punct(tablets-8, /-6)
amod(tablets-8, buffered-7)
nsubjpass(administered-19, tablets-8)
cc(tablets-8, or-9)
det(powder-12, the-10)
amod(powder-12, pediatric-11)
conj(tablets-8, powder-12)
case(solution-15, for-13)
amod(solution-15, oral-14)
nmod(powder-12, solution-15)
aux(administered-19, should-16)
neg(administered-19, not-17)
auxpass(administered-19, be-18)
root(ROOT-0, administered-19)
advmod(administered-19, concomitantly-20)
dep(administered-19, with-21)
punct(with-21, ,-22)
root(,-22, or-23)
case(hours-26, within-24)
nummod(hours-26, 2-25)
nmod(or-23, hours-26)
acl(hours-26, of-27)
punct(hours-26, ,-28)
det(administration-30, the-29)
root(,-28, administration-30)
case(norfloxacin-32, of-31)
nmod(administration-30, norfloxacin-32)
punct(administration-30, ,-33)
mark(interfere-38, because-34)
det(products-36, these-35)
nsubj(interfere-38, products-36)
aux(interfere-38, may-37)
root(,-33, interfere-38)
case(absorption-40, with-39)
nmod(interfere-38, absorption-40)
acl(absorption-40, resulting-41)
case(serum-44, in-42)
amod(serum-44, lower-43)
nmod(resulting-41, serum-44)
cc(serum-44, and-45)
compound(levels-47, urine-46)
conj(serum-44, levels-47)
case(norfloxacin-49, of-48)
nmod(levels-47, norfloxacin-49)
punct(interfere-38, .-50)

det(quinolones-2, Some-1)
nsubjpass(shown-6, quinolones-2)
aux(shown-6, have-3)
advmod(shown-6, also-4)
auxpass(shown-6, been-5)
root(ROOT-0, shown-6)
mark(interfere-8, to-7)
xcomp(shown-6, interfere-8)
case(metabolism-11, with-9)
det(metabolism-11, the-10)
nmod(interfere-8, metabolism-11)
case(caffeine-13, of-12)
nmod(metabolism-11, caffeine-13)
punct(shown-6, .-14)

nsubj(lead-3, This-1)
aux(lead-3, may-2)
root(ROOT-0, lead-3)
case(clearance-6, to-4)
amod(clearance-6, reduced-5)
nmod(lead-3, clearance-6)
case(caffeine-8, of-7)
nmod(clearance-6, caffeine-8)
cc(clearance-6, and-9)
det(prolongation-11, a-10)
conj(clearance-6, prolongation-11)
case(half-15, of-12)
nmod:poss(half-15, its-13)
compound(half-15, plasma-14)
nmod(prolongation-11, half-15)
punct(half-15, --16)
dep(half-15, life-17)
punct(lead-3, .-18)

neg(pharmacokinetic-2, No-1)
root(ROOT-0, pharmacokinetic-2)
punct(pharmacokinetic-2, --3)
amod(studies-9, based-4)
compound(studies-9, drug-5)
punct(studies-9, --6)
compound(studies-9, drug-7)
compound(studies-9, interaction-8)
nsubjpass(conducted-12, studies-9)
aux(conducted-12, have-10)
auxpass(conducted-12, been-11)
dep(pharmacokinetic-2, conducted-12)
case(SYNAREL-14, with-13)
nmod(conducted-12, SYNAREL-14)
punct(pharmacokinetic-2, .-15)

advmod(expected-45, However-1)
punct(expected-45, ,-2)
mark(peptide-8, because-3)
compound(acetate-5, nafarelin-4)
nsubj(peptide-8, acetate-5)
cop(peptide-8, is-6)
det(peptide-8, a-7)
advcl(expected-45, peptide-8)
nsubjpass(degraded-12, that-9)
auxpass(degraded-12, is-10)
advmod(degraded-12, primarily-11)
acl:relcl(peptide-8, degraded-12)
case(peptidase-14, by-13)
nmod(degraded-12, peptidase-14)
cc(peptidase-14, and-15)
neg(P-19, not-16)
case(P-19, by-17)
compound(P-19, cytochrome-18)
conj(peptidase-14, P-19)
punct(P-19, --20)
nummod(enzymes-22, 450-21)
conj(P-19, enzymes-22)
punct(P-19, ,-23)
cc(P-19, and-24)
det(drug-26, the-25)
nsubjpass(bound-32, drug-26)
auxpass(bound-32, is-27)
advmod(80-30, only-28)
advmod(80-30, about-29)
nummod(%-31, 80-30)
nsubjpass(bound-32, %-31)
conj(P-19, bound-32)
case(proteins-35, to-33)
compound(proteins-35, plasma-34)
nmod(bound-32, proteins-35)
case(C-38, at-36)
nummod(C-38, 4-37)
nmod(bound-32, C-38)
punct(expected-45, ,-39)
compound(interactions-41, drug-40)
nsubjpass(expected-45, interactions-41)
aux(expected-45, would-42)
neg(expected-45, not-43)
auxpass(expected-45, be-44)
root(ROOT-0, expected-45)
mark(occur-47, to-46)
xcomp(expected-45, occur-47)
punct(expected-45, .-48)

compound(Reports-4, ACE-1)
punct(Reports-4, --2)
compound(Reports-4, inhibitors-3)
nsubj(suggest-5, Reports-4)
root(ROOT-0, suggest-5)
mark(diminish-9, that-6)
nsubj(diminish-9, NSAIDs-7)
aux(diminish-9, may-8)
ccomp(suggest-5, diminish-9)
det(effect-12, the-10)
amod(effect-12, antihypertensive-11)
dobj(diminish-9, effect-12)
case(ACE-14, of-13)
nmod(effect-12, ACE-14)
punct(ACE-14, --15)
dep(ACE-14, inhibitors-16)
punct(suggest-5, .-17)

det(interaction-2, This-1)
nsubjpass(given-5, interaction-2)
aux(given-5, should-3)
auxpass(given-5, be-4)
root(ROOT-0, given-5)
dobj(given-5, consideration-6)
case(patients-8, in-7)
nmod(given-5, patients-8)
acl(patients-8, taking-9)
dobj(taking-9, NSAIDs-10)
advmod(taking-9, concomitantly-11)
case(ACE-13, with-12)
nmod(taking-9, ACE-13)
punct(ACE-13, --14)
dep(ACE-13, inhibitors-15)
punct(given-5, .-16)

root(ROOT-0, Antacids-1)
punct(Antacids-1, :-2)
det(administration-5, The-3)
amod(administration-5, concomitant-4)
nsubj(has-8, administration-5)
case(antacids-7, of-6)
nmod(administration-5, antacids-7)
dep(Antacids-1, has-8)
neg(effect-11, no-9)
amod(effect-11, apparent-10)
dobj(has-8, effect-11)
case(extent-14, on-12)
det(extent-14, the-13)
nmod(has-8, extent-14)
case(absorption-16, of-15)
nmod(extent-14, absorption-16)
case(Lodine-18, of-17)
nmod(absorption-16, Lodine-18)
punct(has-8, .-19)

advmod(decrease-5, However-1)
punct(decrease-5, ,-2)
nsubj(decrease-5, antacids-3)
aux(decrease-5, can-4)
root(ROOT-0, decrease-5)
det(concentration-8, the-6)
compound(concentration-8, peak-7)
dobj(decrease-5, concentration-8)
acl(concentration-8, reached-9)
case(effect-20, by-10)
dep(effect-20, 15-11)
advmod(15-11, %-12)
case(%-15, to-13)
nummod(%-15, 20-14)
nmod(%-12, %-15)
cc(15-11, but-16)
aux(effect-20, have-17)
neg(effect-20, no-18)
amod(effect-20, detectable-19)
nmod(reached-9, effect-20)
case(time-23, on-21)
det(time-23, the-22)
nmod(effect-20, time-23)
punct(decrease-5, --24)
case(peak-27, to-25)
punct(peak-27, --26)
nmod(decrease-5, peak-27)
punct(decrease-5, .-28)

root(ROOT-0, Aspirin-1)
punct(Aspirin-1, :-2)
advmod(administered-6, When-3)
nsubjpass(administered-6, Lodine-4)
auxpass(administered-6, is-5)
advcl(reduced-14, administered-6)
case(aspirin-8, with-7)
nmod(administered-6, aspirin-8)
punct(reduced-14, ,-9)
nmod:poss(binding-12, its-10)
compound(binding-12, protein-11)
nsubjpass(reduced-14, binding-12)
auxpass(reduced-14, is-13)
dep(Aspirin-1, reduced-14)
punct(reduced-14, ,-15)
mark(altered-24, although-16)
det(clearance-18, the-17)
nsubjpass(altered-24, clearance-18)
case(etodolac-21, of-19)
amod(etodolac-21, free-20)
nmod(clearance-18, etodolac-21)
auxpass(altered-24, is-22)
neg(altered-24, not-23)
advcl(reduced-14, altered-24)
punct(Aspirin-1, .-25)

det(significance-3, The-1)
amod(significance-3, clinical-2)
nsubjpass(known-9, significance-3)
case(interaction-6, of-4)
det(interaction-6, this-5)
nmod(significance-3, interaction-6)
auxpass(known-9, is-7)
neg(known-9, not-8)
root(ROOT-0, known-9)
punct(known-9, ;-10)
advmod(known-9, however-11)
punct(known-9, ,-12)
case(NSAIDs-16, as-13)
case(NSAIDs-16, with-14)
amod(NSAIDs-16, other-15)
nmod(recommended-27, NSAIDs-16)
punct(NSAIDs-16, ,-17)
amod(administration-19, concomitant-18)
appos(NSAIDs-16, administration-19)
case(Lodine-21, of-20)
nmod(administration-19, Lodine-21)
cc(Lodine-21, and-22)
conj(Lodine-21, aspirin-23)
auxpass(recommended-27, is-24)
neg(recommended-27, not-25)
advmod(recommended-27, generally-26)
dep(known-9, recommended-27)
case(potential-31, because-28)
mwe(because-28, of-29)
det(potential-31, the-30)
nmod(recommended-27, potential-31)
case(effects-35, of-32)
amod(effects-35, increased-33)
amod(effects-35, adverse-34)
nmod(potential-31, effects-35)
punct(known-9, .-36)

nsubj(cause-19, Cyclosporine-1)
punct(Cyclosporine-1, ,-2)
conj(Cyclosporine-1, Digoxin-3)
punct(Cyclosporine-1, ,-4)
compound(Lodine-6, Methotrexate-5)
conj(Cyclosporine-1, Lodine-6)
punct(Cyclosporine-1, ,-7)
case(NSAIDs-10, like-8)
amod(NSAIDs-10, other-9)
nmod(Cyclosporine-1, NSAIDs-10)
punct(Cyclosporine-1, ,-11)
case(effects-13, through-12)
nmod(Cyclosporine-1, effects-13)
case(prostaglandins-16, on-14)
amod(prostaglandins-16, renal-15)
nmod(effects-13, prostaglandins-16)
punct(Cyclosporine-1, ,-17)
aux(cause-19, may-18)
root(ROOT-0, cause-19)
dobj(cause-19, changes-20)
case(elimination-23, in-21)
det(elimination-23, the-22)
nmod(changes-20, elimination-23)
case(drugs-26, of-24)
det(drugs-26, these-25)
nmod(elimination-23, drugs-26)
acl(changes-20, leading-27)
case(levels-31, to-28)
amod(levels-31, elevated-29)
compound(levels-31, serum-30)
nmod(leading-27, levels-31)
case(cyclosporine-33, of-32)
nmod(levels-31, cyclosporine-33)
punct(cyclosporine-33, ,-34)
conj(cyclosporine-33, digoxin-35)
punct(cyclosporine-33, ,-36)
conj(cyclosporine-33, methotrexate-37)
punct(cyclosporine-33, ,-38)
cc(cyclosporine-33, and-39)
amod(toxicity-41, increased-40)
conj(cyclosporine-33, toxicity-41)
punct(cause-19, .-42)

nsubjpass(enhanced-8, Nephrotoxicity-1)
acl(Nephrotoxicity-1, associated-2)
case(cyclosporine-4, with-3)
nmod(associated-2, cyclosporine-4)
aux(enhanced-8, may-5)
advmod(enhanced-8, also-6)
auxpass(enhanced-8, be-7)
root(ROOT-0, enhanced-8)
punct(enhanced-8, .-9)

nsubjpass(observed-26, Patients-1)
acl(Patients-1, receiving-2)
det(drugs-4, these-3)
dobj(receiving-2, drugs-4)
nsubjpass(given-7, who-5)
auxpass(given-7, are-6)
acl:relcl(drugs-4, given-7)
dobj(given-7, Lodine-8)
punct(Lodine-8, ,-9)
cc(Lodine-8, or-10)
det(NSAID-13, any-11)
amod(NSAID-13, other-12)
conj(Lodine-8, NSAID-13)
punct(Lodine-8, ,-14)
cc(Lodine-8, and-15)
advmod(patients-18, particularly-16)
det(patients-18, those-17)
conj(Lodine-8, patients-18)
case(function-22, with-19)
amod(function-22, altered-20)
amod(function-22, renal-21)
nmod(patients-18, function-22)
punct(observed-26, ,-23)
aux(observed-26, should-24)
auxpass(observed-26, be-25)
root(ROOT-0, observed-26)
case(development-29, for-27)
det(development-29, the-28)
nmod(observed-26, development-29)
case(toxicities-33, of-30)
det(toxicities-33, the-31)
amod(toxicities-33, specific-32)
nmod(development-29, toxicities-33)
case(drugs-36, of-34)
det(drugs-36, these-35)
nmod(toxicities-33, drugs-36)
punct(observed-26, .-37)

root(ROOT-0, Diuretics-1)
punct(Diuretics-1, :-2)
nsubj(has-4, Etodolac-3)
dep(Diuretics-1, has-4)
neg(interaction-8, no-5)
amod(interaction-8, apparent-6)
amod(interaction-8, pharmacokinetic-7)
dobj(has-4, interaction-8)
advmod(administered-10, when-9)
advcl(has-4, administered-10)
case(furosemide-12, with-11)
nmod(administered-10, furosemide-12)
cc(furosemide-12, or-13)
conj(furosemide-12, hydrochlorothiazide-14)
punct(Diuretics-1, .-15)

advmod(shown-12, Nevertheless-1)
punct(shown-12, ,-2)
amod(studies-4, clinical-3)
nsubj(shown-12, studies-4)
punct(studies-4, ,-5)
cc(studies-4, as-6)
mwe(as-6, well-7)
mwe(as-6, as-8)
amod(observations-10, postmarketing-9)
conj(studies-4, observations-10)
aux(shown-12, have-11)
root(ROOT-0, shown-12)
mark(reduce-16, that-13)
nsubj(reduce-16, Lodine-14)
aux(reduce-16, can-15)
ccomp(shown-12, reduce-16)
det(effect-19, the-17)
amod(effect-19, natriuretic-18)
dobj(reduce-16, effect-19)
case(furosemide-21, of-20)
nmod(effect-19, furosemide-21)
cc(furosemide-21, and-22)
conj(furosemide-21, thiazides-23)
case(patients-26, in-24)
det(patients-26, some-25)
nmod(effect-19, patients-26)
punct(shown-12, .-27)

det(response-2, This-1)
nsubjpass(attributed-5, response-2)
aux(attributed-5, has-3)
auxpass(attributed-5, been-4)
root(ROOT-0, attributed-5)
case(inhibition-7, to-6)
nmod(attributed-5, inhibition-7)
case(synthesis-11, of-8)
amod(synthesis-11, renal-9)
compound(synthesis-11, prostaglandin-10)
nmod(inhibition-7, synthesis-11)
punct(attributed-5, .-12)

case(therapy-3, During-1)
amod(therapy-3, concomitant-2)
nmod(observed-11, therapy-3)
case(NSAIDs-5, with-4)
nmod(therapy-3, NSAIDs-5)
punct(observed-11, ,-6)
det(patient-8, the-7)
nsubjpass(observed-11, patient-8)
aux(observed-11, should-9)
auxpass(observed-11, be-10)
root(ROOT-0, observed-11)
advmod(observed-11, closely-12)
case(signs-14, for-13)
nmod(observed-11, signs-14)
case(failure-17, of-15)
amod(failure-17, renal-16)
nmod(signs-14, failure-17)
punct(signs-14, ,-18)
cc(signs-14, as-19)
mwe(as-19, well-20)
mwe(as-19, as-21)
mark(assure-23, to-22)
conj(signs-14, assure-23)
amod(efficacy-25, diuretic-24)
dobj(assure-23, efficacy-25)
punct(observed-11, .-26)

root(ROOT-0, Glyburide-1)
punct(Glyburide-1, :-2)
nsubj(has-4, Etodolac-3)
